Enhanced lrslib ray discovery log
Started: 2025-07-25 15:02:39
Input: n6data/n6_restart_startingcobasis.ine
Output: n6data/new_rays_from_1381_enhanced.ext
============================================================

[2025-07-25 15:02:39] 🚀 STARTING: Enhanced lrslib ray discovery
[2025-07-25 15:02:39] 📁 INPUT: n6data/n6_restart_startingcobasis.ine
[2025-07-25 15:02:39] 📁 OUTPUT: n6data/new_rays_from_1381_enhanced.ext
[2025-07-25 15:02:39] 📁 LOG: n6data/ray_discovery_enhanced.log
[2025-07-25 15:02:39] 📊 INPUT SIZE: 1220.1 MB
[2025-07-25 15:02:39] ⚡ LAUNCHING: lrslib process with monitoring
[2025-07-25 15:02:39] ⏰ PROGRESS: 0s elapsed, 0 rays found
[2025-07-25 15:03:09] ⏰ PROGRESS: 30s elapsed, 0 rays found
[2025-07-25 15:03:09] 🎯 STARTING POINT: lrslib processing startingcobasis declaration
[2025-07-25 15:03:09] 🎯 STARTING POINT: lrslib processing startingcobasis declaration
[2025-07-25 15:03:39] ⏰ PROGRESS: 60s elapsed, 0 rays found
[2025-07-25 15:04:09] ⏰ PROGRESS: 90s elapsed, 0 rays found
[2025-07-25 15:04:39] ⏰ PROGRESS: 120s elapsed, 0 rays found
[2025-07-25 15:05:09] ⏰ PROGRESS: 150s elapsed, 0 rays found
[2025-07-25 15:05:39] ⏰ PROGRESS: 180s elapsed, 0 rays found
[2025-07-25 15:06:09] ⏰ PROGRESS: 210s elapsed, 0 rays found
[2025-07-25 15:06:39] ⏰ PROGRESS: 240s elapsed, 0 rays found
[2025-07-25 15:07:09] ⏰ PROGRESS: 270s elapsed, 0 rays found
[2025-07-25 15:07:39] ⏰ PROGRESS: 300s elapsed, 0 rays found
[2025-07-25 15:08:09] ⏰ PROGRESS: 330s elapsed, 0 rays found
[2025-07-25 15:08:39] ⏰ PROGRESS: 360s elapsed, 0 rays found
[2025-07-25 15:09:09] ⏰ PROGRESS: 390s elapsed, 0 rays found
[2025-07-25 15:09:39] ⏰ PROGRESS: 420s elapsed, 0 rays found
[2025-07-25 15:10:09] ⏰ PROGRESS: 450s elapsed, 0 rays found
[2025-07-25 15:10:39] ⏰ PROGRESS: 480s elapsed, 0 rays found
[2025-07-25 15:11:09] ⏰ PROGRESS: 510s elapsed, 0 rays found
[2025-07-25 15:11:39] ⏰ PROGRESS: 540s elapsed, 0 rays found
[2025-07-25 15:12:09] ⏰ PROGRESS: 570s elapsed, 0 rays found
[2025-07-25 15:12:39] ⏰ PROGRESS: 600s elapsed, 0 rays found
[2025-07-25 15:13:09] ⏰ PROGRESS: 630s elapsed, 0 rays found
[2025-07-25 15:13:39] ⏰ PROGRESS: 660s elapsed, 0 rays found
[2025-07-25 15:14:09] ⏰ PROGRESS: 690s elapsed, 0 rays found
[2025-07-25 15:14:39] ⏰ PROGRESS: 720s elapsed, 0 rays found
[2025-07-25 15:15:09] ⏰ PROGRESS: 750s elapsed, 0 rays found
[2025-07-25 15:15:39] ⏰ PROGRESS: 780s elapsed, 0 rays found
[2025-07-25 15:16:09] ⏰ PROGRESS: 810s elapsed, 0 rays found
[2025-07-25 15:16:39] ⏰ PROGRESS: 840s elapsed, 0 rays found
[2025-07-25 15:17:09] ⏰ PROGRESS: 870s elapsed, 0 rays found
[2025-07-25 15:17:39] ⏰ PROGRESS: 900s elapsed, 0 rays found
[2025-07-25 15:18:09] ⏰ PROGRESS: 930s elapsed, 0 rays found
[2025-07-25 15:18:39] ⏰ PROGRESS: 960s elapsed, 0 rays found
[2025-07-25 15:19:09] ⏰ PROGRESS: 990s elapsed, 0 rays found
[2025-07-25 15:19:39] ⏰ PROGRESS: 1020s elapsed, 0 rays found
[2025-07-25 15:20:09] ⏰ PROGRESS: 1050s elapsed, 0 rays found
[2025-07-25 15:20:39] ⏰ PROGRESS: 1080s elapsed, 0 rays found
[2025-07-25 15:21:09] ⏰ PROGRESS: 1110s elapsed, 0 rays found
[2025-07-25 15:21:39] ⏰ PROGRESS: 1140s elapsed, 0 rays found
[2025-07-25 15:22:09] ⏰ PROGRESS: 1170s elapsed, 0 rays found
[2025-07-25 15:22:39] ⏰ PROGRESS: 1200s elapsed, 0 rays found
[2025-07-25 15:23:09] ⏰ PROGRESS: 1230s elapsed, 0 rays found
[2025-07-25 15:23:39] ⏰ PROGRESS: 1260s elapsed, 0 rays found
[2025-07-25 15:24:09] ⏰ PROGRESS: 1290s elapsed, 0 rays found
[2025-07-25 15:24:39] ⏰ PROGRESS: 1320s elapsed, 0 rays found
[2025-07-25 15:25:09] ⏰ PROGRESS: 1350s elapsed, 0 rays found
[2025-07-25 15:25:39] ⏰ PROGRESS: 1380s elapsed, 0 rays found
[2025-07-25 15:26:09] ⏰ PROGRESS: 1410s elapsed, 0 rays found
[2025-07-25 15:26:39] ⏰ PROGRESS: 1440s elapsed, 0 rays found
[2025-07-25 15:27:09] ⏰ PROGRESS: 1470s elapsed, 0 rays found
